col1,col2,col3,col4,col5
276.424,455.647,101.967,168.911,477.72
257.473,430.1,95.989,162.8,329.91
160.147,335.591,95.718,162.313,328.829
158.938,328.956,95.679,159.012,313.633
155.82,317.284,95.652,157.21,312.972
155.692,317.269,95.604,156.851,296.859
155.557,314.18,95.583,149.623,296.796
142.773,314.114,95.573,149.553,294.264
142.541,312.458,95.561,148.387,294.135
140.766,298.753,95.542,147.18,291.153
137.026,298.699,95.53,146.252,287.209
136.605,297.962,95.51,145.71,286.482
132.328,293.712,95.503,145.308,286.46
131.627,290.011,95.487,144.409,286.373
131.029,289.08,95.487,142.291,286.325
131,288.281,95.484,142.279,286.307
130.942,287.002,95.48,142.18,286.268
130.683,286.801,95.476,142.168,286.253
130.488,286.673,95.443,142.166,286.231
130.473,286.565,95.42,142.164,286.225
130.379,286.434,95.395,141.64,286.212
130.338,286.425,95.374,141.474,286.202
130.337,286.415,95.35,139.59,286.194
130.319,286.391,94.269,139.094,286.189
130.315,286.333,93.427,139.061,286.189
130.315,286.322,93.419,138.772,286.187
130.278,286.312,93.269,138.625,286.183
130.27,286.305,93.21,138.354,286.177
130.267,286.297,93.171,137.987,286.177
130.256,286.291,93.169,137.665,286.172
130.246,286.282,93.155,136.687,286.168
130.239,286.281,93.141,136.437,286.165
130.237,286.279,93.136,136.086,286.162
130.219,286.278,93.115,135.471,286.156
130.218,286.277,93.105,135.216,286.153
130.217,286.273,93.091,135.187,286.153
130.215,286.27,93.079,135.148,286.145
130.214,286.247,93.073,135.123,286.143
130.212,286.245,93.051,135.112,286.138
130.204,286.234,93.042,135.074,286.135
130.197,286.23,93.037,135.073,286.132
130.192,286.222,93.027,135.062,286.129
130.188,286.221,93.026,135.053,286.128
130.182,286.221,93.026,135.036,286.127
130.18,286.22,93.022,135.033,286.121
130.18,286.216,93.013,135.018,286.121
130.178,286.211,93.01,135.016,286.116
130.176,286.209,93.007,135.012,286.113
130.166,286.207,93.001,135.008,286.113
130.163,286.206,92.992,134.973,286.113
130.157,286.205,92.98,134.972,286.109
130.156,286.205,92.974,134.972,286.109
130.152,286.205,92.956,134.97,286.106
130.15,286.204,92.953,134.969,286.105
130.15,286.204,92.945,134.966,286.105
130.147,286.204,92.941,134.965,286.104
130.146,286.193,92.941,134.956,286.102
130.143,286.193,92.934,134.92,286.1
130.136,286.184,92.915,134.906,286.097
130.136,286.184,92.91,134.891,286.095
130.135,286.183,92.905,134.889,286.095
130.135,286.183,92.903,134.878,286.091
130.131,286.181,92.901,134.876,286.088
130.131,286.18,92.898,134.87,286.088
130.13,286.18,92.885,134.868,286.086
130.13,286.176,92.885,134.866,286.081
130.127,286.175,92.881,134.86,286.08
130.127,286.174,92.869,134.849,286.078
130.125,286.174,92.85,134.836,286.076
130.12,286.173,92.805,134.836,286.076
130.12,286.173,91.398,134.825,286.074
130.118,286.173,91.377,134.82,286.07
130.118,286.173,91.253,134.816,286.069
130.115,286.172,91.243,134.812,286.069
130.114,286.172,91.204,134.807,286.068
130.111,286.172,91.138,134.805,286.066
130.109,286.171,91.087,134.8,286.063
130.105,286.171,90.973,134.8,286.06
130.102,286.171,90.971,134.794,286.057
130.1,286.17,90.91,134.789,286.054
130.099,286.169,90.825,134.786,286.054
130.098,286.168,90.782,134.78,286.053
130.098,286.167,90.662,134.758,286.053
130.098,286.167,90.607,134.742,286.052
130.097,286.162,90.581,134.723,286.05
130.097,286.162,90.577,134.721,286.05
130.097,286.161,90.559,134.711,286.05
130.097,286.16,90.557,134.71,286.049
130.096,286.159,90.552,134.703,286.048
130.094,286.156,90.552,134.699,286.046
130.093,286.156,90.548,134.685,286.045
130.092,286.155,90.54,134.678,286.044
130.091,286.154,90.537,134.677,286.043
130.09,286.154,90.536,134.671,286.042
130.089,286.154,90.527,134.668,286.041
130.086,286.154,90.507,134.662,286.04
130.083,286.153,90.5,134.654,286.039
130.083,286.153,90.493,134.652,286.037
130.082,286.152,90.491,134.648,286.037
130.082,286.152,90.48,134.638,286.036
130.082,286.151,90.478,134.638,286.036
130.081,286.151,90.477,134.625,286.033
130.079,286.15,90.474,134.622,286.032
130.079,286.149,90.471,134.618,286.032
130.079,286.148,90.465,134.617,286.031
130.079,286.145,90.464,134.616,286.03
130.079,286.144,90.453,134.615,286.03
130.078,286.143,90.447,134.613,286.027
130.077,286.142,90.444,134.598,286.026
130.073,286.14,90.441,134.594,286.025
130.073,286.139,90.439,134.593,286.024
130.073,286.137,90.436,134.587,286.024
130.072,286.136,90.436,134.582,286.023
130.071,286.134,90.436,134.581,286.021
130.07,286.134,90.435,134.577,286.018
130.069,286.133,90.432,134.573,286.017
130.068,286.133,90.43,134.567,286.017
130.068,286.132,90.428,134.564,286.015
130.068,286.132,90.427,134.548,286.015
130.066,286.13,90.427,134.542,286.013
130.066,286.13,90.426,134.541,286.013
130.065,286.13,90.421,134.537,286.011
130.065,286.129,90.4,134.527,286.011
130.064,286.129,90.399,134.521,286.011
130.06,286.128,90.395,134.518,286.01
130.06,286.126,90.394,134.516,286.008
130.059,286.125,90.39,134.51,286.008
130.059,286.124,90.39,134.51,286.007
130.058,286.124,90.386,134.507,286.006
130.057,286.123,90.385,134.498,286.005
130.054,286.123,90.378,134.485,286.005
130.054,286.123,90.377,134.473,286.001
130.053,286.122,90.376,134.467,286
130.052,286.121,90.375,134.452,285.999
130.051,286.12,90.37,134.448,285.998
130.051,286.12,90.368,134.444,285.995
130.049,286.119,90.364,134.438,285.995
130.049,286.119,90.357,134.438,285.995
130.048,286.119,90.356,134.434,285.991
130.048,286.117,90.355,134.419,285.99
130.048,286.117,90.346,134.409,285.989
130.048,286.117,90.343,134.406,285.987
130.048,286.116,90.328,134.399,285.986
130.047,286.115,90.326,134.399,285.986
130.047,286.113,90.116,134.374,285.984
130.046,286.112,89.559,134.368,285.984
130.045,286.112,89.464,134.365,285.981
130.045,286.112,89.293,134.364,285.977
130.044,286.11,89.262,134.356,285.976
130.044,286.11,88.536,134.349,285.975
130.043,286.109,88.534,134.32,285.973
130.042,286.109,88.475,134.31,285.972
130.042,286.107,88.465,134.309,285.971
130.039,286.104,88.435,134.307,285.971
130.037,286.104,88.373,134.301,285.971
130.033,286.104,88.361,134.266,285.971
130.033,286.102,88.316,134.261,285.97
130.033,286.102,88.215,134.26,285.969
130.033,286.099,88.204,134.254,285.969
130.032,286.099,88.189,134.232,285.965
130.032,286.097,88.156,134.231,285.963
130.031,286.097,88.12,134.216,285.963
130.031,286.095,88.12,134.211,285.961
130.03,286.094,88.041,134.207,285.961
130.03,286.093,88.037,134.181,285.958
130.03,286.092,88.027,134.161,285.957
130.03,286.092,88.011,134.152,285.956
130.03,286.091,88.011,134.119,285.953
130.029,286.09,87.99,134.104,285.953
130.029,286.09,87.99,134.025,285.951
130.029,286.089,87.98,134.016,285.947
130.028,286.087,87.98,133.926,285.946
130.028,286.087,87.971,133.716,285.945
130.027,286.086,87.963,133.087,285.943
130.027,286.085,87.958,133.074,285.941
130.027,286.084,87.957,133.02,285.937
130.026,286.084,87.956,132.996,285.934
130.025,286.084,87.955,132.848,285.932
130.024,286.083,87.955,132.724,285.931
130.023,286.083,87.95,132.421,285.927
130.022,286.083,87.948,132.307,285.925
130.021,286.082,87.945,132.221,285.924
130.019,286.082,87.94,132.1,285.919
130.019,286.082,87.938,132.077,285.917
130.018,286.081,87.928,132.038,285.915
130.018,286.081,87.925,131.996,285.912
130.018,286.081,87.923,131.975,285.911
130.014,286.08,87.921,131.932,285.907
130.013,286.08,87.918,131.93,285.905
130.012,286.079,87.917,131.885,285.9
130.01,286.079,87.908,131.875,285.9
130.009,286.078,87.906,131.839,285.892
130.009,286.077,87.906,131.698,285.874
130.009,286.077,87.905,131.626,285.873
130.008,286.076,87.905,131.556,285.861
130.008,286.076,87.9,131.545,285.853
130.006,286.075,87.897,131.504,285.831
130.005,286.075,87.896,131.492,285.58
130.004,286.075,87.895,131.479,285.489
130.003,286.075,87.894,131.43,285.484
130.003,286.075,87.892,131.263,285.484
130.002,286.074,87.89,131.26,285.476
130.002,286.074,87.889,131.25,285.464
130.001,286.074,87.887,131.139,285.395
130,286.074,87.886,131.129,285.386
129.999,286.073,87.885,131.129,285.375
129.999,286.073,87.883,131.123,285.374
129.999,286.073,87.883,131.099,285.367
129.999,286.073,87.88,131.068,285.36
129.998,286.073,87.878,131.065,285.359
129.998,286.072,87.875,131.058,285.355
129.998,286.072,87.874,131.049,285.351
129.998,286.072,87.869,131.03,285.346
129.997,286.072,87.863,130.998,285.346
129.996,286.071,87.863,130.985,285.345
129.996,286.071,87.855,130.974,285.338
129.995,286.071,87.853,130.973,285.329
129.994,286.071,87.85,130.969,285.322
129.993,286.071,87.849,130.968,285.317
129.992,286.07,87.84,130.964,285.313
129.991,286.069,87.839,130.963,285.308
129.991,286.069,87.838,130.963,285.306
129.99,286.069,87.836,130.954,285.306
129.989,286.068,87.833,130.952,285.305
129.988,286.068,87.831,130.948,285.303
129.988,286.061,87.829,130.942,285.302
129.987,286.059,87.828,130.939,285.302
129.986,286.058,87.826,130.926,285.302
129.986,286.058,87.824,130.922,285.298
129.986,286.057,87.823,130.922,285.293
129.986,286.057,87.821,130.92,285.288
129.985,286.056,87.816,130.92,285.287
129.985,286.056,87.814,130.912,285.284
129.983,286.055,87.803,130.903,285.284
129.983,286.055,87.802,130.902,285.281
129.982,286.055,87.793,130.899,285.277
129.981,286.054,87.789,130.892,285.275
129.981,286.054,87.769,130.89,285.273
129.98,286.054,87.763,130.889,285.273
129.98,286.054,87.756,130.871,285.269
129.98,286.054,87.741,130.866,285.268
129.979,286.053,87.736,130.863,285.268
129.979,286.053,87.711,130.855,285.262
129.979,286.053,87.707,130.853,285.262
129.979,286.052,87.096,130.853,285.26
129.979,286.052,86.797,130.852,285.26
129.978,286.051,86.464,130.851,285.258
129.976,286.051,86.091,130.851,285.257
129.974,286.049,86.055,130.847,285.255
129.974,286.047,86.026,130.837,285.255
129.972,286.047,85.974,130.832,285.253
129.971,286.044,85.96,130.829,285.247
129.971,286.043,85.905,130.828,285.247
129.971,286.043,85.893,130.828,285.246
129.971,286.042,85.868,130.825,285.245
129.97,286.041,85.84,130.824,285.244
129.969,286.039,85.838,130.821,285.244
129.968,286.037,85.811,130.815,285.244
129.967,286.036,85.802,130.814,285.24
129.967,286.036,85.793,130.812,285.238
129.966,286.035,85.771,130.809,285.238
129.964,286.035,85.761,130.806,285.234
129.962,286.033,85.753,130.805,285.233
129.96,286.032,85.692,130.801,285.231
129.958,286.032,85.683,130.799,285.231
129.958,286.032,85.655,130.796,285.228
129.957,286.031,85.646,130.795,285.227
129.957,286.031,85.63,130.791,285.227
129.956,286.029,85.616,130.789,285.223
129.956,286.029,85.615,130.789,285.223
129.955,286.029,85.612,130.787,285.222
129.953,286.029,85.558,130.785,285.222
129.953,286.026,85.557,130.781,285.222
129.952,286.026,85.55,130.78,285.221
129.951,286.024,85.542,130.779,285.219
129.95,286.024,85.521,130.778,285.217
129.95,286.024,85.519,130.768,285.215
129.949,286.024,85.518,130.764,285.214
129.948,286.024,85.501,130.761,285.213
129.946,286.024,85.499,130.76,285.211
129.945,286.022,85.497,130.759,285.211
129.944,286.022,85.491,130.758,285.209
129.944,286.022,85.483,130.757,285.207
129.944,286.022,85.483,130.757,285.206
129.941,286.019,85.478,130.755,285.205
129.941,286.019,85.465,130.755,285.204
129.939,286.019,85.461,130.753,285.198
129.939,286.019,85.449,130.751,285.197
129.939,286.017,85.447,130.751,285.196
129.939,286.017,85.445,130.749,285.196
129.938,286.016,85.444,130.748,285.195
129.938,286.016,85.444,130.747,285.192
129.936,286.016,85.443,130.745,285.191
129.935,286.014,85.441,130.742,285.19
129.934,286.014,85.436,130.741,285.189
129.934,286.014,85.433,130.738,285.189
129.934,286.012,85.432,130.737,285.188
129.934,286.012,85.427,130.737,285.187
129.933,286.011,85.426,130.736,285.186
129.933,286.01,85.419,130.735,285.186
